Country Name,Country Code,Percent_AG_Land,AG_Per_GDP,Per_Rural_Pop,Per_Male-Employeed_AG
Morocco,MAR,67.87138696,12.03586174,35.935,29.41697
Monaco,MCO,,,0,
Moldova,MDA,69.00212314,10.58658701,57.002,40.81294
Madagascar,MDG,70.29047783,23.18822377,60.793,75.9188
Maldives,MDV,19.66666667,5.265833594,58.898,13.03116
Middle East & North Africa,MEA,33.40621704,5.034689464,34.19366773,14.5154911
Mexico,MEX,49.96321922,3.889201203,18.984,17.43615
Marshall Islands,MHL,38.88888889,25.2991943,21.838,
Middle income,MIC,36.91963167,8.89095429,46.30523028,29.81608523
North Macedonia,MKD,49.96034893,7.249327773,41.214,12.41272
Mali,MLI,35.34777371,35.68182612,55.323,69.56632
Malta,MLT,27.34375,0.884278943,5.19,1.203958
Myanmar,MMR,19.88753888,23.43886448,68.552,
Middle East & North Africa (excluding high income),MNA,22.96998708,10.07294638,37.7971388,17.95933039
Montenegro,MNE,19.00074349,6.461483445,32.174,8.385805
Mongolia,MNG,72.3150522,13.16317419,31.215,25.34439
Northern Mariana Islands,MNP,1.173913043,,8.11,
Mozambique,MOZ,52.66389277,27.49537958,62.372,60.248
Mauritania,MRT,38.52721451,18.57871142,43.867,33.42982
Mauritius,MUS,43.0645969,3.27999047,59.225,6.41637
Malawi,MWI,64.17055579,22.77412987,82.305,56.9076
Malaysia,MYS,26.08735352,9.588179408,22.304,12.17521
North America,NAC,25.80269648,1.029311705,17.24998558,2.173587995
Namibia,NAM,47.14256216,9.490370279,46.995,23.71045
New Caledonia,NCL,10.06728665,,28.075,3.370088
Niger,NER,36.7845583,36.48102662,83.249,72.07137
Nigeria,NGA,75.3691931,23.35705876,47.254,43.49703
Nicaragua,NIC,42.30513545,15.5293011,40.723,41.57816
Netherlands,NLD,53.81645382,1.5485055,7.428,2.971325
Norway,NOR,2.704038213,1.650813701,16.677,3.524575
Nepal,NPL,28.74782002,22.02145228,78.992,54.59086
Nauru,NRU,20,,0,
New Zealand,NZL,38.64266454,,13.211,7.639674
OECD members,OED,33.92086978,1.407942036,18.76110009,6.246349516
Oman,OMN,4.737382876,2.120779761,12.956,4.807937
Other small states,OSS,38.52217428,2.277526202,36.84829838,18.04203186
Pakistan,PAK,47.09293275,22.67375254,62.56,28.68074
Panama,PAN,29.40571583,2.655073442,31.225,20.52713
Peru,PER,19.93413203,7.218461347,21.5,27.62845
Philippines,PHL,42.5361371,10.06916603,52.316,30.3297
Palau,PLW,9.347826087,3.856749311,18.517,
Papua New Guinea,PNG,3.181998852,,86.544,21.83777
Poland,POL,47.36837635,2.223977,39.925,9.549447
Pre-demographic dividend,PRE,42.63856879,18.42278201,56.96862035,49.29634834
Puerto Rico,PRI,19.04171364,0.667582348,6.408,2.002351
"Korea, Dem. People's Rep.",PRK,21.55136617,,37.358,41.01751
Portugal,PRT,43.25385675,2.187675294,33.151,6.946108
